filename,title,description,brand,model,engine_type,vehicle_type,fuel_type,engine_state,turbo_supercharged
CBlxdQyB1OI_410_420.wav,Testing the motor on the LT1000 from the dump,Testing out the free tractor we got from the dump.,Craftsman,LT1000,,lawn tractor,gasoline,running,no
CYc-H8Wg-MQ_30_40.wav,1918 Gnome rotary engine running,"November 7, 2009, finally got the engine running right.  It has an ignition selector switch that allows it to run at 1/2 power, 1/4 power, and 1/8 power.  This engine will be used in a replica 1918 Nieuport 28.",Gnome,Rotary engine,Rotary Piston Engine,Aircraft (replica),Gasoline,running,no
CdNy_LwXmw0_160_170.wav,Troubleshooting Samsung 2.2Kw Window Air Conditioner,"Why are these new units so under powered and under charged, even new they are out-performed by a 30 year old unit of the same capacity!",Samsung,2.2Kw Window Air Conditioner,,Air Conditioner (Appliance),Electric,,no
CnYUEif7qF8_140_150.wav,"Evinrude e-tec 90 2011 model, cold startup in flushing tank","What a pleasure it is to have an outboard start this easily from dead cold.  

Evinrude e-tec 90, 2011 model, three months old.  Fitted to old-school Caribbean Comaro (4.7m fibreglass runabout) made by International Marine, Scoresby, Australia, in the late 70's.  The new outboard has transformed this old girl into a brilliantly performing, low emissions pleasurecraft.  Achieved 70km/h @ 5200rpm on water-pickup style speedo with 17 inch Viper prop, yet to be verified by GPS... but it sure flies!

The puff of smoke you might see on the rev at idle is because it only has about three hours on the clock... so still in double-oiling run-in mode.   Notice that the telltale stream at 500rpm.  I've taken another video at 1000rpm to show the difference in stream as the engine speed rises.  There has been some debate about what is 'normal' and considering this is such a new engine, I consider this normal for this model.

A real-world scenario of fuel consumption comparing modern 2 strokes for 4 strokes:
http://www.boatpoint.com.au/engine-reviews/2006/johnson/130-to-140hp-four-strokes-compared-and-dfi-two-strokes-8348",Evinrude,E-TEC 90,2-stroke DFI outboard,Runabout boat,Gasoline,cold start and idle,no
E41yRLq5Hr4_70_80.wav,pulse jet engine go kart record run 2 passes,"I had 2 great runs today.  The first pass was 45 mph and the second pass was at least 48 mph.  My eyes were watering so much from the air rushing past that's the last speed I could see on the gps.  I could have been a click or 2 higher before I came to a big hill and cut the engine off.  My wife was taking the video and putting up with all the jet wash with the shots from the back.  She got a new hair do out of it at least. lol  The engine is holding up great so far.  I just weighed the propane tank and it is 8 pounds lighter after these 2 runs of approx. 4 minutes total.  The EPA would love my mileage at over 2 pounds a minute.
 Power output :  2,640,000  btu/hr  or  1037 Horsepower",Custom Build,Go-Kart (Pulse Jet Powered),Pulse Jet Engine,Go-Kart,Propane,accelerating,no
ESgFP9ibyg8_70_80.wav,1964 Toro Sportlawn Highcut 21 gas powered reel mower,"Bought this for $50 today. Needs a couple of new lockwashers holding the carb to the block, as well as a new carb to block gasket. Even with the carb falling of it does manage to run, and RUIN my grass. Guess it's not that much of a high-cut after all. I'm going to fix it and clean it up for the Oct. 1st & 2nd Zagray Farm Fall Festival (this coming weekend). Going to be taking this, a couple old cast iron engines, the Sears Super 12 and the IH Cub Cadet 125 and that little fiberglass Craftsman tractor (the clown tractor).",Toro,Sportlawn Highcut 21,"single-cylinder, small engine",reel mower,gasoline,running,no
E_5lnbZeN_M_80_90.wav,"Larry's gas turbine jet engine turboprop ultralight aircraft, GB103","To be legal, an ultralight cannot exceed 254 pounds, so I'm trying to start by jet engine with a small Lithium Polymer battery that weighs less than 2 pounds.  Amazingly, it can ouput 187 amps to my cool sounding Global warmer.",,GB103,gas turbine jet engine turboprop,ultralight aircraft,jet fuel,running,yes
EpYDzdI5PMU_0_10.wav,Tornado ( Dust Devil ) en Santiago enero 2011,"http://goo.gl/YExk1
Poderoso Power Dust Devil Tornado en Santiago Chile",,,,,,,no
Ft-xoz9GwoE_20_30.wav,Civic type r idler pulley noise,Strange noise from idler pulley disappears after 34secs,Honda,Civic Type R,K20C1,Hatchback,Gasoline,running,yes
Gr0EfKuJsTw_50_60.wav,Flyin Bolens Jet turbine engine powered pulling garden tractor,"I'm told this tractor owned by Roger McCormick is a 150hp turbine from a military 
gen set. Not sure where he is from but Im thinking Southeastern Iowa or midwestern Ill. I heard some one say it turns 40,000 rpm",Bolens,Garden Tractor,Jet Turbine Engine (military gen set derived),Garden Tractor (modified for pulling),"Jet Fuel (Kerosene or JP-8, common for military turbines)",running,no
GruuEdpYo8A_30_40.wav,homemade bulldozer,"kids bulldozer, made from a snowblower and an old gas pump",,,small single-cylinder,homemade bulldozer,gasoline,,no
H-isdmrmhes_140_150.wav,engine blows up,we blew the engine after the trans went out. The fuel gauge is broken so it didnt run out of fuel. the car wasnt mine it was on its way to the crusher so we decided to blow it up.,,,,,,off,no
HAKA7KlwvmQ_30_40.wav,LS1 Knocking Noise,"2002 Camaro Z28 Bone stock making a knocking  noise, at first I thought it was a bearing but Ive been told by mechanics that its a lifter. what do you think?",Chevrolet,Camaro Z28,LS1,Sports Car,Gasoline,running,no
HgDZJ5h33SI_40_50.wav,Airbus A350 First Engine Start,"Video and Infomration from Airbus: Rolls-Royce's Trent XWB engines have run for the first time on the A350 XWB (MSN1) following the start-up of the Auxiliary Power Unit (APU), as part of the preparations for the aircraft's maiden flight.",Airbus,A350 XWB,Rolls-Royce Trent XWB,Commercial Aircraft,Jet Fuel,running,yes
I1jgx51-ukc_300_310.wav,1955 chris craft old start cold start,"the boats been sitting 7 years with old fuel, l planned on cleaning the carb any way so l started it on the old fuel",Chris-Craft,,,boat,gasoline,running,no
IHBGVgc9tgk_80_90.wav,เรือหางสั้น1,เรือหางสั้น1,,,,boat,,,no
IeW1hoTAXB8_30_40.wav,OK Supreme 1927 motorcycle with Bradshaw engine,"OK Supreme 1927  349 cc OHV   oil cooled Bradshaw 

OK motorcycles were manufactured by the firm of Humphries & Dawes  in Birmingham  from 1899 till 1939: from 1926, when one of the controlling partners left the firm, the company was  renamed OK Supreme. The motorcycles were built at  the Hall Green Works in Birmingham.  The company had some success in racing  in the twenties and was sufficiently well established to overcome the downturn in trade in the Depression years.
In the years before the Great War the company fitted among others  ""Precision"" engines, in the  early twenties  Union and Villiers two stroke power units were fitted. In the mid-twenties  the range consisted of  two stroke models  of 292 and 348 cc  cc,  the  sports tourer  OHV Bradshaw and sv and  ohv Blackburne power units.  Plenty of choice in engines!
From the late twenties the company used  mainly sv and ohv JAP engines, although  there was also a model with OK ohc engine for some years. Granville Bradshaw designed several oil cooled engines; the first was a 500 cc ohv flat twin which was used by Zenith  in 1920.  In 1921 the range was extended with a 350 cc ohv single and a 1000 cc V-twin. The engines were produced by  James Walmsley & Co in Preston and marketed by Gilbert Campling. From 1925 the engines were built by Dorman in Stafford.  The longstroke Bradshaw engine -- used by OK from 1924 to 1928 - has bore and  stroke dimensions of 68x96 mm  and  mechanical lubrication.  The machine  has a 3 speed gearbox and Brown & Barlow carburettor.  It weighs about 200 lbs, so it's a light and agile machine.",OK Supreme,Supreme,"{'manufacturer': 'Bradshaw', 'model': '349 cc OHV oil-cooled single', 'configuration': 'Single cylinder, OHV', 'displacement_cc': 349, 'cooling_system': 'Oil-cooled', 'bore_mm': 68, 'stroke_mm': 96}",Motorcycle,Gasoline,,no
JIOdS7XbHys_30_40.wav,How To Diagnose An Engine Knock.MP4,Engine noises aren't to hard to diagnose if you follow a few steps.,,,,,,running,no
L1qC8DicAZE_70_80.wav,Datsun 510 with VG30 Engine,Video of my 510 before I sold it,Datsun,510,VG30,sedan,gasoline,,no
LLOblSCR4Vs_10_20.wav,Pajero Sport V6 Engine SOHC 3.5 Exhaust sound,This video was uploaded from an Android phone.,Mitsubishi,Pajero Sport,V6 SOHC 3.5L,SUV,gasoline,revving,no
LTF5K9H5pPA_80_90.wav,Suffolk Colt Lawnmower Restoration,The before and after of my Suffolk Colt motor mower. Petrol powered 75cc engine.,Suffolk,Colt,75cc single-cylinder,Lawnmower,Petrol,off,no
LkWnbS0Qfrg_30_40.wav,Diesel Boat Engine,"This is the only reason I need to make sure that my next boat will have diesels.  671TI Detroit Diesel, about 410HP and enough torque to move large buildings.",Detroit Diesel,671TI,inline 6-cylinder diesel,boat,diesel,running,yes
MH9Oj_g6xYU_30_40.wav,Noise test - AMD FX-8320 Stock Cooler vs Cooler Master Hyper TX3 EVO,"The processor was slighly overclocked (4,1 Ghz) when recording the clip with the TX3. You can still hear a clear difference in noise levels.",,,AMD FX-8320,computer component,electric,running,no
My1AJiLY1gw_150_160.wav,Perkins 540 V8 In Fordson Major First Start,First Time Started For 5 Years,Fordson,Major,Perkins 540 V8,Tractor,Diesel,running,no
NTSEuO7jvl4_26_36.wav,Toyota Corolla Rod Knock,"Car is 89 Corolla with 1.6 liter with 255,000 miles and good maintenance but has had hard use and this is what happens.",Toyota,Corolla,1.6 liter 4-cylinder,sedan,gasoline,running,no
NeD36r4XZlU_450_460.wav,MARSHALL diesel engine generator start-up,Sähkövirran tuottto marshall varavoimalalla http://www.youtube.com/user/hitthoppis # p / a spare electric power generator of this type only known functional marshall,Marshall,unknown,diesel engine,generator,diesel,running,no
OuPNy_2AZ48_430_440.wav,"1979 Mercedes-Benz 240D parts car - old start, cold start - first start in 13 years (long version)","Well, I bought a parts car for the Mercedes project. Didn't really need it, but couldn't pass it up at the price. In this (long) video, I give an overview of the car and get it to start for the first time in 13 years.

check out my blog:
http://mercedesdieselguy.blogspot.com",Mercedes-Benz,240D,OM616,sedan,diesel,running,no
P3OU6c8VEhI_280_290.wav,"ford 2006 f150 5.4  diesel noise  ,tick noise ,clak noise.","i been replacement ,vct solenoids 2 ,2 cam position sensor,2 cam phaser,2 oxigen sensor form bank 2 ,driver side is bank 2.i check the fuse box,check the engine wiring,and keep showing the 4 codes with out check engine light on . some times shows more of 4 codes on the OBD II ,like missing fire,ramdom missing fires on any bank ,bank 1  or bank 2, rich fuel,or air leak, vacum leaks,maf sensor bad, and my truck run roug like diesel engine,and when you get at some stop the truck dies ., and shows up alot codes ..... i take alot a codes with news vct solenoids but the 4 codes from camshaft position sensor still there. any sugestion.",Ford,F-150,5.4L Triton V8,Truck,Gasoline,running,no
PEkR2BLU1so_0_10.wav,55 chevy cummins-killer burnout,havin some fun,Chevrolet,Bel Air,Cummins diesel,classic car,diesel,revving,yes
POCCjcRSQJ4_0_10.wav,Starting of the pulse engine,Primo avviamento del pulse engine. Pisu alla bombola e io alla fiamma....Polly alle riprese! Bisogna aumentare la spinta!!,,,pulse engine,,,running,no
P_o8okkk3RM_50_60.wav,golf cart 24HP V-TWIN CONVERSION FIRE UP,EZGO ST 480 WITH A BIG BLOCK CONVERSION AND CUSTOM EXHAUST.,EZGO,ST 480,24HP V-Twin,golf cart,gasoline,running,no
Pu7_jfDpeoU_30_40.wav,Flexplate to Torque Converter Knocking,"This is the sound a jeep with automatic transmission makes when the flexplate to torque converter bolts are loose. It is a 1995 Jeep Cherokee SE (XJ), 4.0L I6 High Output, automatic transmission, np231 t-case, all stock.",Jeep,Cherokee SE (XJ),4.0L I6 High Output,SUV,gasoline,running,no
Q5HSFwmL-YU_110_120.wav,ВАЗ 2112 turbo stend,"Замер на стенде при давлении 0,5 бар",VAZ,2112,4-cylinder turbo gasoline,sedan,gasoline,running,yes
QM4qxOYDwHo_90_100.wav,Incredible Boeing jet turbine/helicopter powered Batmobile!!!,"One of the best and most accurate I've ever seen! Local builder here in Ohio just finished it. Flat incredible!!! Watch the wussy in the background with his kid run away. LOL! I wanted to get closer!!! Heat put off the exhaust on this thing as it went by was just incredible, as was the sound!!",Custom Build,Batmobile,Boeing jet turbine,Custom Car,Jet Fuel (Kerosene),running,yes
REeHsSo_LbE_370_380.wav,como limpar carburador moto 150cc part 4/4,,,150cc motorcycle,single-cylinder,motorcycle,gasoline,off,no
Rblq9XQG6TE_50_60.wav,BMW K100RS Streetfighter,Cold morning start & walk around,BMW,K100RS,inline-4,motorcycle,gasoline,running,no
RsnKIYFQSoE_190_200.wav,Hydrogen car Save 70-100% - машина на водороде Экономия c 70- 100%,"ВАЗ-2108 
Экономия с 70 до 100%
Потребление электролизера AC 220 1,6-2,4кВт/час.
Прошу обратить внимание: что газ подается не под карбюратор, а в воздушный фильтр. 20-30% газа улетучивается в воздух.
Требуется ставить грибок или прокладку под карбюратор как для пропана-метана.
Обсуждение тут:
  http://vk.com/public65732067 и тут https://www.facebook.com/groups/1440699996163132/
Если не нашли что искали смотрите другие ролики.",VAZ,2108,,Hatchback,Hydrogen-Gasoline Hybrid,,no
SHGjVOTXlNc_30_40.wav,Kilroys AeroWorks TProp Yak Engine Start,TurboProp AeroWorks Yak,Kilroys AeroWorks,Yak,Turboprop,Aircraft,Jet Fuel,running,yes
SbzTJWeo-R8_30_40.wav,A321 Engine Start Up,,Airbus,A321,,commercial aircraft,jet fuel,running,no
Sra7HPOYX1c_160_170.wav,Riello oil burner training series # 1,"tiger loop, nozzle changed,rest electroids,run burner",Riello,,oil burner,,heating oil,running,no
UMs2uABOoEo_10_20.wav,Engine Noise 302 Mustang,New noise I heard coming from my engine think this might be a knock or a stuck lifter maybe?,Ford,Mustang,302 V8,Sports Car,Gasoline,running,no
UQtbZNMp1nY_90_100.wav,Holz zu Gold !,"Holz zu Gold machen?! Nicht die Alchemisten aus dem Mittelalter sondern meine osteuropäischen Freunde, meine Kollega's aus Rumänien beherrschen die Umwandlung Holz zu Gold. Ruck-Zuck ist der Wagen voll, mit dem Gold . So einfach gehts!! grins",,,,truck,,,no
UeUVINFMdQQ_0_10.wav,"KE18 Corolla Wagon with 3K-B Twin Carb engine, starting, running and reving.",This video is to show the 3K-B Twin Carb engine running.,Toyota,Corolla Wagon KE18,3K-B Twin Carb,Wagon,gasoline,running,no
UelMinLIWSA_60_70.wav,Overloading Daewoo Lanos Engine on Jet-A1 and Diesel Mix,"Oh, she does not like me now!",Daewoo,Lanos,inline-4,sedan,Jet-A1/Diesel mix,running,no
UhANSJnLXNs_30_40.wav,ท่อสูบน้ำ นวตกรรมใหม่,"ท่อสูบน้ำ นวตกรรมใหม่ ผลิตจากPVC เกรด A ไม่แตกหักทำได้ทุกแบบทุกขนาด 2""-24"" ทน ถูกกว่าสแตนเลส วางแช่น้ำได้ไม่ผุ แข็งแรงทนทาน มีใบพัดให้เลือกแบบสุพรรณ แบบใบเจสกี แบบรอบช้า-รอบเร็ว ใบเล็กสแตนเลส ทองเหลือง อลูมิเนียม น้ำออกแรงกว่าท้องตลาด ปรับใบพัดให้พอดีกับแรงม้าเครื่องยนต์ได้ มีสิทธิบัตรคุ้มครอง ผลิตออกแบบโดยทีมงาน Niyom PVC + ทีมงานซ่อม ดัด แต่งใบพัดเรือ นิยมค้าไฮโดรลิค (ผู้ใหญ่ตั้น บ้านแหลม เพชรบุรี 032-481088,081-9701513",,,,water pump system,,,no
V5-Mni4s1vI_90_100.wav,Miata squealing - Clogged cat,"well.
This happened at the track, and confused everyone there, and also had me confused for about 3 months.

Ended up being a clogged cat. I was about to tear down my motor and rebuild it...this was the last thing I checked and thankfully it was that simple.",Mazda,Miata,inline-4,sports car,gasoline,running,no
WZp8IGE9qOA_270_280.wav,Micro-réacteur,Micro-réacteur de fabrication artisanal,,,micro-jet engine,experimental/homemade,jet fuel,,yes
Wy49nszOnxo_210_220.wav,Old Johnson Iron Horse Engine,Having some fun with a new camera and an old engine.,Johnson,Iron Horse,2-stroke single-cylinder,Outboard Motor,gasoline,running,no
YxpZFn8EojQ_30_40.wav,106 GTi knocking engine,"178 miles after a full head rebuild (new valves, guides and hydraulic lifters), and a remap of the ECU, it knocks badly. It sounded like a misfire, last night, but now it's far more worrying. Also now stinks of fuel and the engine rocks and vibrates. Sounds like it's coming from the top end, to me.

Engine has individual throttle bodies, big injectors, gas flowed head, fast road cam, forged pistons, forged rods and standalone KMS ECU.

Any ideas?",Peugeot,106 GTi,4-cylinder gasoline,hot hatch,gasoline,running,no
ZNYap0-4vJw_30_40.wav,TDI n75 buzz,,Volkswagen,,TDI,,diesel,,yes
ZakhvbPVWIs_10_20.wav,Subaru wrx rattle noise on throttle release,"Me and dad tried with clutch in and clutch out, and the noise is the same in both situations. We are unsure of what it is.

#SOLVED - Turned out the heatsheild on the dump pipe was cracked, my mechanic temporarily fixed it and if it plays up again I will have to buy a new heat shield. Not a big problem though :)",Subaru,WRX,4-cylinder boxer turbo,JDM sports sedan,gasoline,accelerating,yes
_-lXVZ9QpO8_310_320.wav,1996 Nissan 200sx with GTIR motor swap and 60-1 Garrett Turbo,"Nissan 200sx which is on craigslist ..... looks alot slower in this video than it is in real life .... don't know why but its one of those cars you just have to ride in .... but here it is.... also sorry about the crap sound ... my camera makes my car sound ricey ... it really sounds like an srt-4

1996 Nissan Sentra SE-R 200sx. I have a SR20DET GTIR Motor swapped into it with a custom turbo kit made with a big turbo. This car is a real sleeper. The car was dyno tested for 16psi and made 280whp and made 320whp at 18psi and this car only weighs 2500-2600 pounds. Could make around 350whp with 20psi but it's already a blast to drive at 320whp. This car pulls harder than any car I have ever owned and I have owned multiple fast cars such as a built s2000 and a srt-4 making almost 400whp.

Here is the mods list = 
ENGINE WORK
Engine 93 GTI-R engine (5-6k miles on all of the mods)

444cc injectors (Currently installed)

550cc injectors (Not Currently Installed)

250 walbro pump

new upgraded headgasket

custom engine plate

stage 3 clutch

fidanza lightened flywheel

greedy catch can

greddy caps rad/oil

new starter

z32 maf

3""exhaust custom man ( It aims down at the ground )

safc 2 4 fine tuning

enthelpy chipped ecu /and stock gti-r

custom cooling system W/3500cfm

apexi grounding kit

battery relocated to rear



TURBO WORK
60-1 hybrid garret /turbo 1500 miles

huge intercooler 3""

38mm tial

All custom I/C Piping and other piping



EXTERIOR
custom fender flares

custom carved and painted bumpers

one piece headlights jdm

custom vinyl graphics

5% tint

17"" sport max rims & tires



INTERIOR
sparco evo xl seat

short shifter w/cf knob

carbon fiber pedals

stock seats all mint

digital gauges water/boost

aem wideband uego



BRAKES AND SUSPENSION
upgraded rotors

megan springs & monroe shocks

camber kit



SOUND SYSTEM
clarion touch screen DVD/TV

2 10"" speaker inside cabin

pioneer speakers mids and tweeters inside

no a/c or p/s ... can be put back on if wanted but this thing is really a street legal race car",Nissan,200SX (Sentra SE-R),SR20DET GTIR,Coupe (JDM inspired),Gasoline,accelerating,yes
_JFFhzZhIvk_80_90.wav,99 S10 differential shaft vibration,"Got a 99 extended cab, extreme stance, with 2011 Camaro 18"" Steel Tires on 3"" spacers wrapped with 245-45-18 up front and 245-55-18s on rear, V-6 Chevy s10 with about 90k miles on it. I bottomed out on North Bound 101 Fwy  just before Santa Barbara. Shortly after on my drive back home to San Fernando, I noticed vibrations when I exceeded 70mph. The problem progressively worsen and now I get vibrations and other squeeks and rattling as a result, but only when I accelerate.",Chevrolet,S10,V6,Truck,Gasoline,accelerating,no
_Rvxqek_b0E_70_80.wav,Chicken Vada / Snack / Starter / Iftar Dish for Ramadan,"Chicken Vada. 
This video explain how to make Chicken Vada. You can use this as a snack / Starter / Iftar dish in Ramadan. 
Follow us - https://www.facebook.com/pages/Garam-Masala/1374567692792068
For detailed recipe, please visit - http://garammasala134.blogspot.ae/2014/07/chicken-vada-snack-starter-iftar-dish.html",,,,,,,no
aAU9NKbaGy4_10_20.wav,Motor ns 11 yahnmar . Novo nunca foi usado em barco . Yamaha,,Yanmar,NS11,single-cylinder diesel engine,marine engine,diesel,off,no
aOVPHKqKjyQ_90_100.wav,"Quick Tour: 2001 Ford Escape XLS Start Up, Engine & Brief Tour",In this video I give a brief tour & show a few of the features & performances in the interior & exterior,Ford,Escape XLS,V6,SUV,gasoline,running,no
adEy5j4XiJk_30_40.wav,Sherman Tank Engine GM 6046 Twindiesel Fire Up,"our  gm 6046 after complete rebuilt ,then it will fitted in our m10 achilles tank destroyer
see  our sherman m4a1 running with the same engine http://www.youtube.com/watch?v=uVwFN1Tap7k&feature=related",GM,"M4A1 Sherman, M10 Achilles",6046 Twindiesel,"Tank, Tank Destroyer",diesel,running,no
bQV7q5VRaH0_170_180.wav,Ford Focus 1.8 TDCi 115 engine problem - knocking/ticking sound,"Problem diagnosed: Faulty high pressure pump.

So my focus is making a knocking/ticking/tapping noise (when driving it's more noticeable and very rattly). The engine is also quite shaky at around 1000-1100rpm. It get's louder after driving the car for about 10 minutes.",Ford,Focus,1.8 TDCi 115,sedan,diesel,running,yes
bT-CEaOEGdI_140_150.wav,Starting 4 valve engine with ease from OORacing,"Hello
This is a short video of me starting the 4 valve high compression engines, it proves that when started in the right crank position they will start with ease and without any chance of a kick back or setting off the sheer gear.
We get a number of call saying the engines are imposable to kit over, but that is only due to they are trying to kick them over on the complete compression stroke.
Please watch and take note of the following
Don't use the choke with any of the carbs out there and use the idle screw as the choke by turning it up ½ a turn from its normal running.
Always do a trial kit with the ignition off just to make sure the bore is primed/clear of any excess fuel, do this on start up each time if left for more than 30 minutes.
Never open the throttle on start up.
Always warm the engine up on a fast idle for 3 to 5 minutes wit out blipping the throttle.
We hope this helps
Website:       https://www.ooracing.com
Facebook:     https://www.facebook.com/ooracing
Twitter:          https://twitter.com/OORacing
@ooracing",OORacing,,4-valve high compression engine,,gasoline,starting,no
cMFacOIgiRU_60_70.wav,"2001 Jeep Cherokee Sport Start Up, Engine & Full Tour",Enjoy,Jeep,Cherokee Sport,4.0L I6,SUV,gasoline,running,no
cWUomjdI9vk_0_10.wav,69 Dodge Charger 426 HEMI @ idle,"stock restored 1969 Dodge Charger RT J code 4 speed
484HP/488Ft Lbs Dyno'd...
Show and Go Restoration",Dodge,Charger RT,426 HEMI,Muscle car,Gasoline,idle,no
eEY8OozRve0_50_60.wav,2007 Chrysler Town Country radiator fan noise,"When the radiator fan comes on, it makes this noise. Noise is coming mainly from the passenger side fan. Do I need to change the whole fan or is it a bearing?",Chrysler,Town & Country,V6,minivan,gasoline,running,no
fWg-YqqzJMQ_10_20.wav,bmw e36 325i odpalenie po remoncie motora,"e36 drift car film z marca 2010 , stalowa wola",BMW,E36 325i,M50B25,Coupe,Gasoline,running,no
gT504Sv_XD8_290_300.wav,"2006 v6 mustang, pypes exhaust, bbk headers, bbk cai, etc","This is my second video, people kept asking me to make this and explain my bolt ons and upgrades. Any questions just ask. Thanks 

2006 v6 Mustang Upgrades Include-
BBK CAI, BBK Headers, Pypes Exhaust, Shelby Shaker Hood, Ford Racing Short Shifter, Screamin Demon Coil, platinum spark plugs, NGK spark plug wires.",Ford,Mustang,V6,Coupe,Gasoline,running,no
h1xGnaqiU1I_80_90.wav,Continental Wright Whirlwind R975 Radial Engine From M3 Grant Tank - First Full Run,"Sounds Awesome...  Lots of smoke,,,,  This was it's first run for many years.  9 Cylinder 400bhp Supercharged Aircraft engine....  These were also fitted to many WW2 tanks and Self Propelled Guns....   Built around 1943 this one came from the Greek army reserve !   and this is its first proper run in Bromsgrove, England !! ... which was later fitted into a Range Wreck M3 General Lee Grant tank. See my other videos for  the Tank moving for the first time at the War & Peace Show in Kent England in 2005. see video of Tank here http://www.youtube.com/watch?v=ODIgpdsIL-I",Continental Wright,Whirlwind R975,9-cylinder radial aircraft engine,Tank,Gasoline,running,yes
hBLotV-d_gQ_30_40.wav,Subaru EJ25 engine knocking before and after rebuild,I bought Subaru Outback with damaged engine EJ253. You can compare sound the same engine recorded by the same camera before and after repair with some additional photos.,Subaru,Outback,EJ253,SUV,gasoline,running,no
hWCvuxTPs_8_6_16.wav,Stuck Lifter Knock?,"Put seafoam in, and she still sounds like this.",,,,,,running,no
hju_p_SaQww_50_60.wav,"""The Beast"" Kenworth Rat Rod",The Beast is getting prepped for some runs down the strip at Toyota Speedway.  10-24-10,Kenworth,Rat Rod,,Truck,Diesel,accelerating,yes
iHTrYQjk_kA_30_40.wav,HIGH SPEED SPIN IN A GO CART,"MOM SAYS SLOW DOWN! AND DAD SAYS GO FASTER AND SPIN OUT! WAIT 'TILL THE VERY END. 9 YEAR OLD CORBIN IN HIS (MANCO) GO KART WITH A 3HP BRIGSS & STRATTON. THE GOVERNOR HAS BEEN REMOVED, THE CARBURETOR HAS BEEN MODIFIED, AND CORBIN HAS NO FEAR!!! (WHAT A PERFECT COMBINATION FOR DISASTER)",Manco,Go Kart,Briggs & Stratton 3HP,Go-kart,Gasoline,accelerating,no
iLUd4l1JFDI_50_60.wav,乗用草刈機を広い土地で刈りたい方に！筑水キャニコム 乗用草刈機 CMX227RC【農機具の通販なら「アグリズ」！】,"いつもお世話になります。農機具のアグリズです。
筑水キャニコム 乗用草刈機 CMX227RCの実演を行いました。

この商品にご興味のある方は、以下のページよりお問合せください。

http://goo.gl/BxCgr3",筑水キャニコム (Chikui Canicom),CMX227RC,,riding mower,gasoline,running,no
iaONmOk-moU_310_320.wav,オーレック　畦草刈機　ウイングモアー WM606D,"畔草刈機の紹介と作業風景

ＡＺＣ726はこちら→http://www.youtube.com/watch?v=HsCOelZ3hwI

こちらもカメラが機械の振動により揺れていますのでご注意ください。",オーレック (Orec),WM606D (ウイングモアー),,畦草刈機 (Agricultural Mower),gasoline,running,no
jiX01Mfs56g_10_20.wav,Pinging engine,is this engine pinging or perhaps noisy lifters? Any one got suggestions or had similar problem & how was it fixed?,,,,,,running,no
jtUql1Hgwdw_30_40.wav,1919 Dodge brothers touring car,"Well here she is after being torn down and restored back to the way she looked on September 30 1919. 
There was only 3700 miles on it so all I did was pull the head and clean the piston tops and valves and put a new head gasket on. As well I rebuilt the carb and the starter/generator.",Dodge Brothers,Touring Car,4-cylinder,Touring Car,gasoline,off,no
ob8GlVyVSXc_0_10.wav,Стук в двигателе ваз 21083 (2109),"Купил машину, а в двигателе есть какой то стук, точнее где то в головке. Не пойму что за стук.",VAZ,21083,VAZ-21083 (inline-4),hatchback,gasoline,running,no
pFELfBxfUk8_30_40.wav,6r4 metro engine singing,2007 bradford classis 6r4 engine test,MG Rover Group,Metro 6R4,V64V (3.0L V6 naturally aspirated),rally car,gasoline,running,no
pUPvir8l8HA_20_30.wav,Dells Jet Kart 2 At Kingsnorth,"This jet engine is homebuilt using a turbocharger from a volvo f7 truck,the best speed ive had out of the kart so far is 53.3 mph but this is on  a road with a 90 deg bend half way round,if theres anybody that knows of a good straight road in the SE of england that I can use please email me at dellgalley@aol.com",Custom Build,Jet Kart 2,Homebuilt Jet Engine (Turbocharger from Volvo F7 truck),Go-kart,Jet Fuel (Inferred from 'jet engine'),accelerating,yes
s2kV3vuJOwk_0_10.wav,Sanding a wooden deck before staining and sealing,http://www.homerenoatorscanada.com Sanding a wooden deck before staining and sealing,,,,,,,no
tqXFcaoxQKQ_0_10.wav,Argos in muskeg area pulling trailer with moose,"Two Argos pulling an amphibious trailer loaded with a bull moose harvested in WMU 30 on Monday Oct. 13, 2008",Argo,,,Amphibious ATV,Gasoline,pulling,no
urcN6jbEnTI_0_10.wav,"2001 Honda Civic, knocking engine","Buddy ran it out of oil every couple months, never changed it",Honda,Civic,4-cylinder,sedan,gasoline,running,no
vs1-wt97bGc_10_20.wav,s10 blazer,"(Remanufactured engine 0 miles on engine)1989 Chevy s10 Blazer 4.3 V6 262cid, MSD coil and distributer. Edlebrock, timing chain, airfilter, intake manifold, valve covers, transapt TBI spacer, Holly 670 cmTBI injection. Hedman headers. BBK light wieght overdrive pullys. CFR performance oil pan. Bcool radiator, bcool alumium tranny cooler, bcool oil cooler. B&M deep tranny pan. Energy suspencion polyerthane engine mounts/control arm bushings ect......to much to list.",Chevrolet,S-10 Blazer,4.3L V6 262cid TBI,SUV,Gasoline,running,no
